batch_id,corp_code,stock_code,corp_name,standard_account,category,found,years_found,sj_divs,matched_names,matched_account_ids,status,recommended_action
kosdaq_001,01516933,0001A0,(주)덕양에너젠,매출액,basic,true,2025,CIS,매출액,ifrs-full_Revenue,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,영업이익,basic,true,2025,CIS,영업이익,dart_OperatingIncomeLoss,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,당기순이익,basic,true,2025,"CF, CIS, SCE",당기순이익,ifrs-full_ProfitLoss,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,자산총계,basic,true,2025,BS,자산총계,ifrs-full_Assets,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,부채총계,basic,true,2025,BS,부채총계,ifrs-full_Liabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,자본총계,basic,true,2025,"BS, SCE",자본총계,ifrs-full_Equity,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,유동부채,basic,true,2025,BS,유동부채,ifrs-full_CurrentLiabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,현금및현금성자산,additional,true,2025,BS,현금및현금성자산,ifrs-full_CashAndCashEquivalents,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,재고자산,additional,true,2025,BS,재고자산,ifrs-full_Inventories,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,매출채권,additional,true,2025,BS,매출채권,ifrs-full_TradeAndOtherCurrentReceivables,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,유형자산,additional,true,2025,BS,유형자산,ifrs-full_PropertyPlantAndEquipment,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
kosdaq_001,01516933,0001A0,(주)덕양에너젠,영업활동현금흐름,additional,true,2025,CF,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
